prev_idx,later_idx,prev_year,later_year,prev_distance_raw_m,later_distance_raw_m,prev_distance_corrected_m,later_distance_corrected_m,delta_distance_m,prev_depth_percent,later_depth_percent,prev_length_mm,later_length_mm,prev_width_mm,later_width_mm,score,reason_flags,years,depth_rate,length_rate,width_rate,growth_flag
10,1,2015,2022,10.402824,-0.0009144000000000001,10.402824,10.44908655477032,0.04626255477031904,,,,1380.1344,,,10.046262554770319,,7,,,,
12,3,2015,2022,30.169104000000004,2.4630888,30.169104000000004,22.7878573134742,-7.381246686525806,,,,879.9576,,,17.381246686525806,,7,,,,
13,4,2015,2022,32.79648,3.3430464,32.79648,29.030771492613347,-3.7657085073866554,,,,3589.9344,,,13.765708507386655,,7,,,,
11,5,2015,2022,14.12748,4.6789848,14.12748,30.082236,15.954756000000001,,,,3589.9344,,,25.954756000000003,,7,,,,
9,6,2015,2022,8.086344,10.2860856,8.086344,36.537392,28.451047999999997,,,,3286.9632,,,38.451048,,7,,,,
8,7,2015,2022,6.397752,14.1890496,6.397752,41.45735795070284,35.059605950702846,,,,4663.1352,,,45.059605950702846,,7,,,,
14,8,2015,2022,80.07400799999999,28.4588712,80.07400799999999,53.22006158836756,-26.853946411632435,,,,12199.9248,,,36.853946411632435,,7,,,,
15,9,2015,2022,108.155232,30.295900800000002,108.155232,59.44799539510598,-48.70723660489402,,,,2976.9815999999996,,,58.70723660489402,,7,,,,
16,10,2015,2022,116.14099200000001,33.0259944,116.14099200000001,71.66787373741363,-44.47311826258638,,,,2470.0992,,,54.47311826258638,,7,,,,
17,11,2015,2022,125.92811999999999,34.8358968,125.92811999999999,78.39995792993818,-47.52816207006181,,,,5177.028,,,57.52816207006181,,7,,,,
18,16,2015,2022,132.414264,43.7000904,132.414264,93.17259890797305,-39.24166509202695,,32.0,,4660.087200000001,,175.26,49.24166509202695,,7,,,,
19,28,2015,2022,195.824856,126.14300400000002,195.824856,154.1234191524427,-41.70143684755732,,,,3107.1312000000003,,,51.70143684755732,,7,,,,
20,29,2015,2022,198.48576000000003,128.9620992,198.48576000000003,164.40862368492475,-34.07713631507528,,13.0,,3684.1176,,50.8,44.07713631507528,,7,,,,
21,30,2015,2022,205.56931200000002,129.1050504,205.56931200000002,164.88138220420325,-40.68792979579678,,12.0,,3684.1176,,25.4,50.68792979579678,,7,,,,
22,32,2015,2022,226.37191200000004,132.82300080000002,226.37191200000004,178.56205120945737,-47.80986079054267,,,,2835.8592000000003,,,57.80986079054267,,7,,,,
23,79,2015,2022,289.297872,206.39592960000002,289.297872,245.0516283016393,-44.24624369836067,,,,2510.0280000000002,,,54.24624369836067,,7,,,,
